name,alcohol_type,taste
Creme De Cacao White,Creamy Liqueur,
Vodka,Vodka,
Grand Marnier,Triple Sec,
Midori Melon Liqueur,Sweet Liqueur,
Malibu Rum,Rum,
Amaretto,Sweet Liqueur,
Cranberry Juice,,sour
Pineapple Juice,,sweet
Chambord Raspberry Liqueur,Sweet Liqueur,
Absolut Kurant,Vodka,
Tequila,Tequila,
Lager,Beer,
Dark Creme De Cacao,Creamy Liqueur,
Coconut Liqueur,Sweet Liqueur,
Light Rum,Rum,
Milk,,cream
Cointreau,Triple Sec,
Vanilla Ice-Cream,,cream
151 Proof Rum,Rum,
Orange Juice,,sweet
Dark Rum,Rum,
Jägermeister,Bitters,
Goldschlager,Schnapps,
Rumple Minze,Rum,
Wild Turkey,Whisky,
Jim Beam,Whisky,
Johnnie Walker,Whisky,
Jack Daniels,Whisky,
Coca-Cola,,sweet
Sweet And Sour,,sweet
Triple Sec,Triple Sec,
Bitters,Bitters,
Lemon,,sour
Gin,Gin,
Peach Vodka,Vodka,
Vanilla Vodka,Vodka,
Sour Mix,,sour
Blueberry Schnapps,Schnapps,
Blue Curacao,Triple Sec,
7-Up,,sweet
Gin Dry,Gin,
Lemon Juice,,sour
Bailey'S Irish Cream,Creamy Liqueur,
Kahlua,Creamy Liqueur,
Frangelico,Sweet Liqueur,
Orange Curacao,Triple Sec,
Strawberry Liqueur,Sweet Liqueur,
Absolut Citron,Vodka,
Grenadine,,sweet
Coconut Rum,Rum,
Ginger Beer,,sweet
Lemon Peel,,sour
Peach Schnapps,Schnapps,
Ginger Ale,,sweet
Añejo Rum,Rum,
Southern Comfort,Whisky,
Creme De Banane,Sweet Liqueur,
Soda Water,,sweet
Maraschino Cherry,,sweet
Strawberries,,sweet
Kirschwasser,Brandy,
Schweppes Russchian,,bitter
Grapefruit Juice,,bitter
Applejack,Brandy,
Hot Chocolate,,cream
White Creme De Menthe,Sweet Liqueur,
Cognac,Brandy,
Tonic Water,,water
Absolut Vodka,Vodka,
Orange,,sweet
Orange Bitters,Bitters,
Cherry,,sweet
Sweet Vermouth,Vermouth,
Angostura Bitters,Bitters,
Peach Nectar,,sweet
Pisang Ambon,Sweet Liqueur,
Bitter Lemon,Bitters,
Sprite,,sweet
Lime Juice,,sour
Champagne,Champagne,
Mint,,mint
Egg White,,egg
Sugar,,sweet
Heavy Cream,,cream
Fresh Lemon Juice,,sour
Creme De Cassis,Sweet Liqueur,
Salt,,salty
Fruit Juice,,sweet
Rum,Rum,
Water,,water
Lemonade,,sour
Dry Vermouth,Vermouth,
Vermouth,Vermouth,
Fresh Lime Juice,,sour
Sugar Syrup,,sweet
Sherry Dry,Brandy,
Club Soda,,sweet
Strawberry Schnapps,Schnapps,
Scotch,Whisky,
Apricot Brandy,Brandy,
Lime,,sour
Peppermint Schnapps,Schnapps,
Cream,,cream
Coffee Hot,,bitter
Sloe Gin,Gin,
Yellow Chartreuse,Sweet Liqueur,
Nutmeg,,spicy
Light Cream,,cream
Lemon Vodka,Vodka,
Blended Whiskey,Whisky,
Bourbon,Whisky,
Blackberry Brandy,Brandy,
Kummel,,spicy
Coffee,,bitter
Brandy,Brandy,
Chocolate Ice-Cream,,cream
Cider,Cider,
Whipped Cream,,cream
Tea Hot,,bitter
Campari,Campari,
Orange Peel,,sweet
Sweet Vermouth Red,Vermouth,
Apple Brandy,Brandy,
Allspice,,spicy
Orange Juice Frozen,,sweet
Cinnamon,,spicy
Apple Cider,Cider,
Lemonade Frozen,,sour
Cloves,,spicy
Nutmeg Ground,,spicy
Brown Sugar,,sweet
Apple Juice,,sweet
Apple Schnapps,Schnapps,
Benedictine,Sweet Liqueur,
Green Ginger Wine,Wine,
Candy,,sweet
Grape Soda,,sweet
Maui Blue,Schnapps,
Mountain Dew,,sweet
Green Creme De Menthe,Sweet Liqueur,
Iced Tea Lemon,,sour
Pineapple,,sweet
Cream Of Coconut,,cream
Gold Tequila,Tequila,
Lime Juice Cordial,,sour
Rye Whiskey,Whisky,
Rum Jamaican,Rum,
Red Wine,Wine,
Tea,,bitter
Passion Fruit Syrup,,sweet
Vodka Smirnoff,Vodka,
Crown Royal,Whisky,
Maraschino Liqueur,Sweet Liqueur,
Sambuca,Sambuca,
Banana,,sweet
Prosecco,Prosecco,
Galliano,Sweet Liqueur,
Carbonated Water,,water
Boone's Strawberry Hill Wine,Wine,
Everclear,Vodka,
Kool-Aid Tropical Berry,,sweet
Irish Cream,Creamy Liqueur,
Ale,Beer,
Guinness Stout,Beer,
Cherry Brandy,Brandy,
Chocolate Syrup,,sweet
Coffee Liqueur,,bitter
Root Beer,,sweet
Surge,,sweet
Butterscotch Schnapps,Schnapps,
Godiva Liqueur,Creamy Liqueur,
Celery Salt,,salty
Tomato Juice,,salty
Tabasco Sauce,,spicy
Worcestershire Sauce,,salty
Tia Maria,Creamy Liqueur,
Caramel Sauce,,sweet
Mini-Snickers Bars,,sweet
Chocolate Sauce,,sweet
Powdered Sugar,,sweet
Sugar Superfine,,sweet
Vodka Smirnoff Red Label,Vodka,
Erin Cream,,cream
Advocaat,Creamy Liqueur,
Sambuca White,Sambuca,
Creme De Mure,Creamy Liqueur,
Egg,,egg
Nutmeg Grated,,spicy
Peachtree Schnapps,Schnapps,
Banana Liqueur,Sweet Liqueur,
Corona,Beer,
Bacardi Limon,Rum,
Cachaca,Cachaca,
White Rum,Rum,
Egg Yolk,,egg
Cherry Grenadine,,sweet
Port,Port,
Chocolate Liqueur,Creamy Liqueur,
Chocolate Milk,,cream
Creme De Cacao,Creamy Liqueur,
Wine Muscatel,Wine,
Spiced Rum,Rum,
Hot Damn,Schnapps,
Whiskey,Whisky,
Demerara Sugar,,sweet
Cherry Heering,Sweet Liqueur,
Peach Bitters,Bitters,
Blackcurrant Cordial,,sweet
Olive,,salty
Olive Brine,,salty
Fruit Punch,,sweet
Dubonnet Rouge,Wine,
Pisco,Pisco,
Lavender,,spicy
Pepper,,spicy
Pineapple Syrup,,sweet
St. Germain,,sweet
Vanilla Extract,,sweet
Whipping Cream,,cream
Condensed Milk Skimmed,,cream
Milk Skimmed,,cream
Firewater,Vodka,
Absolut Peppar,Vodka,
Dr. Pepper,,spicy
Beer,Beer,
Sarsaparilla,,sweet
Raspberry Liqueur,Sweet Liqueur,
Sirup Of Roses,,sweet
Melon Liqueur,Sweet Liqueur,
Orange Spiral,,sweet
Agave Syrup,,sweet
Cider Hard,Cider,
Whisky,Whisky,
Very Sweet Tea,,bitter
Irish Whiskey,Whisky,
Iced Tea,,bitter
Coffee Cold,,bitter
Aperol,Aperol,
Peach Brandy,Brandy,
Tennessee Whiskey,Whisky,
Baileys Irish Cream,Creamy Liqueur,
Light Rum Jamaican,Rum,
Water Cold,,water
Jello,,sweet
Anis,,spicy
Green Chartreuse,Sweet Liqueur,
Grain Alcohol,Vodka,
Apfelkorn,Sweet Liqueur,
Cranberry Vodka,Vodka,
Kiwi Liqueur,Sweet Liqueur,
Kool-Aid Tropical,,sweet
151 Proof Rum Light,Rum,
Kool-Aid Grape,,sweet
Turkish Apple Tea,,sweet
Drambuie,Whisky,
Tonic Water Schweppes,,bitter
Orgeat Syrup,,sweet
Tropicana,,sweet
Bourbon Blended,Whisky,
Pina Colada Mix,,sweet
Daiquiri Mix,,sweet
Coffee Hazlenut,,bitter
Cream Double,,cream
Cocoa Powder,,sweet
Dark Rum Jamaican,Rum,
Absinthe,Absinthe,
Pepsi Cola,,sweet
Lemon-Lime Soda,,sweet
Lemon Juice Sweetened,,sour
Oreo Cookie,,cream
Coconut Milk,,cream
Pink Lemonade,,sour
Cherry Liqueur,Sweet Liqueur,
Raspberry Syrup,,sweet
Sherry Cream,,cream
Coffee Brandy,Brandy,
Lime Vodka,Vodka,
Black Sambuca,Sambuca,
Raspberry Vodka,Vodka,
Rub Light Or Dark,Rum,
Lime Peel,,sour
Fruit Punch Frozen,,sweet
Brandy Plain,Brandy,
Apple,,sweet
Ricard,Sweet Liqueur,
Peychaud Bitters,Bitters,
Curacao,Triple Sec,
Anisette,,spicy
White Or Red Wine,Wine,
Blackcurrant Squash,,sweet
Lemonade Cold,,sour
Cherries,,sweet
Berries,,sweet
Ouzo,Ouzo,
Aquavit,Vodka,
Yukon Jack,Sweet Liqueur,
Maple Syrup,,sweet
Lillet Blanc,Sweet Liqueur,
Grape Juice Unsweetened,,sour
Half-And-Half,,cream
Limeade,,sour
Lime Juice Fresh,,sour
Zima,Beer,
